Index,Name,R DMX,G DMX,B DMX,W DMX,A DMX,sR,sG,sB,Brightness,Brightness Name,Color Group,Category,Temperature
269,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=0 (Off),85,0,85,85,0,127,42,127,85,Dim,deep magenta,cool,neutral
270,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=85 (Dim),85,0,85,85,85,170,74,127,85,Dim,magenta,cool,neutral
271,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=170 (Mid),85,0,85,85,170,212,106,127,170,Mid,red,warm,warm
272,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=255 (Full),85,0,85,85,255,255,138,127,170,Mid,red,warm,warm
273,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=170 (Mid) + A=0 (Off),85,0,85,170,0,170,85,170,85,Dim,magenta,cool,neutral
274,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=170 (Mid) + A=85 (Dim),85,0,85,170,85,212,116,170,170,Mid,magenta,cool,neutral
275,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=170 (Mid) + A=170 (Mid),85,0,85,170,170,255,148,170,170,Mid,red,warm,warm
276,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=170 (Mid) + A=255 (Full),85,0,85,170,255,255,180,170,170,Mid,red,warm,warm
281,R=85 (Dim) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=0 (Off),85,0,170,0,0,85,0,170,85,Dim,purple,cool,cool
282,R=85 (Dim) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=85 (Dim),85,0,170,0,85,127,31,170,85,Dim,purple,cool,neutral
283,R=85 (Dim) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=170 (Mid),85,0,170,0,170,170,63,170,85,Dim,magenta,cool,neutral
284,R=85 (Dim) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=255 (Full),85,0,170,0,255,212,95,170,170,Mid,magenta,cool,neutral
285,R=85 (Dim) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=0 (Off),85,0,170,85,0,127,42,212,85,Dim,purple,cool,cool
286,R=85 (Dim) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=85 (Dim),85,0,170,85,85,170,74,212,85,Dim,purple,cool,neutral
287,R=85 (Dim) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=170 (Mid),85,0,170,85,170,212,106,212,170,Mid,magenta,cool,neutral
288,R=85 (Dim) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=255 (Full),85,0,170,85,255,255,138,212,170,Mid,magenta,cool,neutral
297,R=85 (Dim) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=0 (Off),85,0,255,0,0,85,0,255,85,Dim,purple,cool,cool
298,R=85 (Dim) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=85 (Dim),85,0,255,0,85,127,31,255,85,Dim,purple,cool,cool
299,R=85 (Dim) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=170 (Mid),85,0,255,0,170,170,63,255,85,Dim,purple,cool,cool
300,R=85 (Dim) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=255 (Full),85,0,255,0,255,212,95,255,170,Mid,purple,cool,neutral
301,R=85 (Dim) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=0 (Off),85,0,255,85,0,127,42,255,85,Dim,purple,cool,cool
302,R=85 (Dim) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=85 (Dim),85,0,255,85,85,170,74,255,85,Dim,purple,cool,cool
303,R=85 (Dim) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=170 (Mid),85,0,255,85,170,212,106,255,170,Mid,purple,cool,neutral
304,R=85 (Dim) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=255 (Full),85,0,255,85,255,255,138,255,170,Mid,magenta,cool,neutral
313,R=85 (Dim) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=0 (Off),85,85,0,0,0,85,85,0,85,Dim,deep yellow,warm,very-warm
314,R=85 (Dim) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=85 (Dim),85,85,0,0,85,127,116,0,85,Dim,deep orange,warm,very-warm
315,R=85 (Dim) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=170 (Mid),85,85,0,0,170,170,148,0,170,Mid,orange,warm,very-warm
316,R=85 (Dim) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=255 (Full),85,85,0,0,255,212,180,0,170,Mid,orange,warm,very-warm
317,R=85 (Dim) + G=85 (Dim) + B=0 (Off) + W=85 (Dim) + A=0 (Off),85,85,0,85,0,127,127,42,85,Dim,deep yellow,warm,very-warm
318,R=85 (Dim) + G=85 (Dim) + B=0 (Off) + W=85 (Dim) + A=85 (Dim),85,85,0,85,85,170,159,42,170,Mid,orange,warm,very-warm
319,R=85 (Dim) + G=85 (Dim) + B=0 (Off) + W=85 (Dim) + A=170 (Mid),85,85,0,85,170,212,191,42,170,Mid,orange,warm,very-warm
320,R=85 (Dim) + G=85 (Dim) + B=0 (Off) + W=85 (Dim) + A=255 (Full),85,85,0,85,255,255,223,42,170,Mid,orange,warm,very-warm
329,R=85 (Dim) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=0 (Off),85,85,85,0,0,85,85,85,85,Dim,gray,neutral,neutral
330,R=85 (Dim) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=85 (Dim),85,85,85,0,85,127,116,85,85,Dim,deep red,warm,neutral
331,R=85 (Dim) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=170 (Mid),85,85,85,0,170,170,148,85,170,Mid,orange,warm,warm
332,R=85 (Dim) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=255 (Full),85,85,85,0,255,212,180,85,170,Mid,orange,warm,warm
333,R=85 (Dim) + G=85 (Dim) + B=85 (Dim) + W=85 (Dim) + A=0 (Off),85,85,85,85,0,127,127,127,85,Dim,gray,neutral,neutral
334,R=85 (Dim) + G=85 (Dim) + B=85 (Dim) + W=85 (Dim) + A=85 (Dim),85,85,85,85,85,170,159,127,170,Mid,magenta,cool,neutral
335,R=85 (Dim) + G=85 (Dim) + B=85 (Dim) + W=85 (Dim) + A=170 (Mid),85,85,85,85,170,212,191,127,170,Mid,orange,warm,warm
336,R=85 (Dim) + G=85 (Dim) + B=85 (Dim) + W=85 (Dim) + A=255 (Full),85,85,85,85,255,255,223,127,255,Full,orange,warm,warm
345,R=85 (Dim) + G=85 (Dim) + B=170 (Mid) + W=0 (Off) + A=0 (Off),85,85,170,0,0,85,85,170,85,Dim,blue,cool,cool
346,R=85 (Dim) + G=85 (Dim) + B=170 (Mid) + W=0 (Off) + A=85 (Dim),85,85,170,0,85,127,116,170,85,Dim,blue,cool,neutral
347,R=85 (Dim) + G=85 (Dim) + B=170 (Mid) + W=0 (Off) + A=170 (Mid),85,85,170,0,170,170,148,170,170,Mid,white,neutral,neutral
348,R=85 (Dim) + G=85 (Dim) + B=170 (Mid) + W=0 (Off) + A=255 (Full),85,85,170,0,255,212,180,170,170,Mid,magenta,cool,neutral
361,R=85 (Dim) + G=85 (Dim) + B=255 (Full) + W=0 (Off) + A=0 (Off),85,85,255,0,0,85,85,255,85,Dim,blue,cool,cool
362,R=85 (Dim) + G=85 (Dim) + B=255 (Full) + W=0 (Off) + A=85 (Dim),85,85,255,0,85,127,116,255,170,Mid,blue,cool,cool
